region,riverBasin,Variable,2020,2060
Africa_Southern,AngolaCst,Grassland,11.85951942,11.31279415
Africa_Southern,AngolaCst,OtherArable,0.447817937,0.331371633
Africa_Southern,AngolaCst,OtherNotArable,0.939404,0.939404
Africa_Southern,AngolaCst,Managed_Pasture,0.171186124,0.416080372
Africa_Southern,AngolaCst,Unmanaged_Pasture,22.31414408,19.50184571
Africa_Southern,AngolaCst,Shrubland,1.9285557,1.8396457
Middle East,ArabianP,Cropland,0.840424388,2.153915076
Middle East,ArabianP,Managed_Forest,0,0
Middle East,ArabianP,Unmanaged_Forest,0,0
Middle East,ArabianP,Grassland,0.277363,0.278207
Middle East,ArabianP,OtherArable,1.86452,1.64385
Middle East,ArabianP,OtherNotArable,82.000208,82.000208
Middle East,ArabianP,Managed_Pasture,1.39211,2.84651
Middle East,ArabianP,Unmanaged_Pasture,106.0582,103.4509
Middle East,ArabianP,Shrubland,19.47049,19.52975
Middle East,ArabianSea,Cropland,8.78E-04,0.004763512
Middle East,ArabianSea,Grassland,0.0830547,0.0824859
Middle East,ArabianSea,OtherArable,0.0617004,0.0602015
Middle East,ArabianSea,OtherNotArable,7.04963508,7.04963508
Middle East,ArabianSea,Managed_Pasture,3.05E-04,6.50E-04
Middle East,ArabianSea,Unmanaged_Pasture,0.0231401,0.0227716
Middle East,ArabianSea,Shrubland,0.262106,0.260311
Pakistan,ArabianSea,Cropland,0.30028722,0.622903426
Pakistan,ArabianSea,Grassland,0.012524,0.00683767
Pakistan,ArabianSea,OtherArable,0.266737,0.103532
Pakistan,ArabianSea,OtherNotArable,7.5660061,7.5660061
Pakistan,ArabianSea,Managed_Pasture,0.92024,1.92219
Pakistan,ArabianSea,Unmanaged_Pasture,0.0211204,0.00488144
Pakistan,ArabianSea,Shrubland,2.50959,1.37015
EU-15,ArcticIsl,Grassland,0.00386983,0.00386983
EU-15,ArcticIsl,OtherNotArable,207.7132699,207.7132699
EU-15,ArcticIsl,Shrubland,1.718561,1.718561
European Free Trade Association,ArcticIsl,OtherNotArable,2.460381008,2.460381008
European Free Trade Association,ArcticIsl,Shrubland,0.06897962,0.06897962
Russia,ArcticIsl,OtherNotArable,5.15713,5.15713
Russia,ArcticIsl,Shrubland,0.4900382,0.4900382
Argentina,ArgColoR,Cropland,0.655884074,1.000907834
Argentina,ArgColoR,Managed_Forest,0.00741108,0.00748658
Argentina,ArgColoR,Unmanaged_Forest,0.0538022,0.046796
Argentina,ArgColoR,Grassland,3.00076,2.97331
Argentina,ArgColoR,OtherArable,0.410608,0.372246
Argentina,ArgColoR,OtherNotArable,5.6525629,5.6525629
Argentina,ArgColoR,Managed_Pasture,2.06493,2.97397
Argentina,ArgColoR,Unmanaged_Pasture,24.4117,23.243
Argentina,ArgColoR,Shrubland,1.371466,1.358918
South America_Southern,ArgColoR,Cropland,2.60E-05,5.29E-05
South America_Southern,ArgColoR,Grassland,0,0
South America_Southern,ArgColoR,OtherArable,2.65E-05,2.78E-05
South America_Southern,ArgColoR,OtherNotArable,0.115291,0.115291
South America_Southern,ArgColoR,Managed_Pasture,3.88E-04,6.00E-04
