GLU_Name,reg_id,basin_id,key,reg_nm,Reg8,EmissionType,MaxLine,MinLine,LineType
GreatLakes,8,227,8227,Canada,ROW,Complex,HWSD,SG17,
Hainan,11,124,11124,China,CHN,Complex,SG17,SG20,
HamuMashR,22,102,22102,Pakistan,XAS,Complex,HWSD,Houghton,
HuangHeR,11,79,11079,China,CHN,Complex,Houghton,SG20,
HudsonBay,8,15,8015,Canada,ROW,Complex,SG17,SG20,
Iceland,16,11,16011,European Free Trade Association,ROW,Complex,Houghton,HWSD,
IndCstE,17,145,17145,India,XAS,Complex,SG17,HWSD,
IndCstS,17,155,17155,India,XAS,Complex,SG17,HWSD,
ItalyCstE,13,50,13050,EU-15,EUR,Complex,SG17,HWSD,
ItalyCstW,13,59,13059,EU-15,EUR,Complex,SG17,Houghton,
Japan,19,51,19051,Japan,XAS,Complex,SG17,SG20,
JavaTimor,29,175,29175,Southeast Asia,XAS,Complex,Houghton,SG17,
KaraSea,23,5,23005,Russia,ROW,Complex,HWSD,FAO,
Korea,29,65,29065,Southeast Asia,XAS,Complex,FAO,HWSD,
KrishnaR,17,140,17140,India,XAS,Complex,SG17,HWSD,
LBalkash,10,68,10068,Central Asia,XAS,Complex,SG17,SG20,
AfrCstS,24,198,24198,South Africa,AFR,Complex,Houghton,FAO,
NileR,4,87,4087,Africa_Southern,AFR,Complex,SG20,HWSD,
OrangeR,24,194,24194,South Africa,AFR,Complex,Houghton,FAO,
Mackenzie,8,10,8010,Canada,ROW,Complex,HWSD,SG20,
RiftValley,2,179,2179,Africa_Eastern,AFR,Complex,Houghton,SG17,
MeditIsl,13,63,13063,EU-15,EUR,Complex,SG17,SG20,
MexBaja,20,91,20091,Mexico,XLM,Complex,HWSD,FAO,
MexCstNW,20,96,20096,Mexico,XLM,Complex,SG17,Houghton,
MissouriR,1,223,1223,USA,USA,Complex,Houghton,FAO,
MissppRN,1,218,1218,USA,USA,Complex,Houghton,FAO,
MissppRS,1,219,1219,USA,USA,Complex,SG17,HWSD,
MurrayDrlg,6,208,6208,Australia_NZ,XAS,Complex,Houghton,SG17,
NarvaR,12,22,12022,EU-12,EUR,Complex,HWSD,SG20,
NarvaR,23,22,23022,Russia,ROW,Complex,HWSD,FAO,
NelsonR,8,23,8023,Canada,ROW,Complex,HWSD,SG20,
NemanR,12,35,12035,EU-12,EUR,Complex,Houghton,SG20,
NemanR,14,35,14035,Europe_Eastern,ROW,Complex,HWSD,SG20,
NevaR,23,17,23017,Russia,ROW,Complex,Houghton,HWSD,
NewZealand,6,201,6201,Australia_NZ,XAS,Complex,SG17,HWSD,
NWTerr,8,2,8002,Canada,ROW,Complex,Houghton,HWSD,
ObR,23,56,23056,Russia,ROW,Complex,HWSD,Houghton,
OhioR,1,228,1228,USA,USA,Complex,Houghton,FAO,
Pampas,31,209,31209,Argentina,XLM,Complex,Houghton,SG20,
PennarR,17,147,17147,India,XAS,Complex,Houghton,FAO,
PeruCst,26,180,26180,South America_Southern,XLM,Complex,SG17,Houghton,
PoR,13,57,13057,EU-15,EUR,Complex,SG17,SG20,
RedSeaE,21,93,21093,Middle East,ROW,Complex,FAO,Houghton,
RioVerde,20,132,20132,Mexico,XLM,Complex,HWSD,SG20,
RusCstSE,11,37,11037,China,CHN,Complex,SG17,HWSD,
RusCstSE,23,37,23037,Russia,ROW,Complex,SG17,HWSD,
SabarmatiR,17,107,17107,India,XAS,Complex,FAO,SG17,
SabarmatiR,22,107,22107,Pakistan,XAS,Complex,FAO,HWSD,
Salinas,31,205,31205,Argentina,XLM,Complex,Houghton,FAO,
SChinaSea,11,112,11112,China,CHN,Complex,HWSD,FAO,
ScndnvN,23,8,23008,Russia,ROW,Complex,HWSD,SG20,
SiberiaN,23,3,23003,Russia,ROW,Complex,Houghton,SG17,
SiberiaW,23,4,23004,Russia,ROW,Complex,Houghton,HWSD,
SpainCstSE,13,67,13067,EU-15,EUR,Complex,FAO,Houghton,
StLwrncR,8,40,8040,Canada,ROW,Complex,SG17,SG20,
SyrDaryaR,10,76,10076,Central Asia,XAS,Complex,Houghton,SG20,
TaptiR,17,117,17117,India,XAS,Complex,SG17,FAO,
Tarim,11,85,11085,China,CHN,Complex,SG17,Houghton,
TennR,1,230,1230,USA,USA,Complex,SG17,FAO,
TigrEuphR,21,84,21084,Middle East,ROW,Complex,SG17,FAO,
UralR,23,38,23038,Russia,ROW,Complex,FAO,Houghton,
WislaR,12,30,12030,EU-12,EUR,Complex,HWSD,SG20,
Yangtze,11,106,11106,China,CHN,Complex,Houghton,SG20,
ZiyaHe,11,77,11077,China,CHN,Complex,FAO,HWSD,
AdnNicIsl,17,141,17141,India,XAS,Zero,,,
AfrIntN,2,144,2144,Africa_Eastern,AFR,Zero,,,
AfrCstNE,21,100,21100,Middle East,ROW,Zero,,,
AfrCstNW,13,86,13086,EU-15,EUR,Zero,,,
AmuDaryaR,11,58,11058,China,CHN,Zero,,,
AmuDaryaR,22,58,22058,Pakistan,XAS,Zero,,,
